"compartment","TF","logFC","P.Value","adj.P.Val","fdr_global"
"B_cell","TFAP2A",-0.315919643003575,0.576842280381582,0.8760156237537,0.715982601253816
"B_cell","DNMT1",-0.370410121528759,0.579604962919756,0.8760156237537,0.715982601253816
"B_cell","KLF3",-0.190640997571038,0.585530725729422,0.8760156237537,0.718023079726591
"B_cell","PDX1",-0.237851754518157,0.594055128727279,0.8760156237537,0.720675542590898
"B_cell","SP2",0.290929638843062,0.596273216786517,0.8760156237537,0.720675542590898
"NK","ZFX",-0.165468426471649,0.600933697712142,0.731571458084347,0.72112043725457
"B_cell","MAF",0.198090104786779,0.610082309399898,0.8760156237537,0.726906581412645
"NK","KAT6A",0.183006641911294,0.628203349920389,0.748497608415783,0.743226498497362
"NK","EHF",0.13955687500269,0.65532996340772,0.764551623975673,0.76989813882865
"B_cell","KLF15",-0.140538888825698,0.662900487167986,0.915220829136114,0.773383901695984
"B_cell","ELF4",0.162323058711659,0.670072392760369,0.915220829136114,0.776359737818911
"B_cell","CEBPZ",-0.140082434276536,0.715031141067374,0.953374854756499,0.822775559584376
"NK","VDR",0.0869672353710282,0.728104644594723,0.832119593822541,0.832119593822541
"B_cell","CEBPA",0.188806825086326,0.740917835651717,0.957644035055676,0.841041867496544
"B_cell","OLIG2",0.132124886280544,0.761025630069351,0.957644035055676,0.858069166789604
"B_cell","E2F2",0.117170681583832,0.774845966504268,0.957644035055676,0.863757364952178
"NK","IKZF3",-0.0906101014077558,0.777420277586002,0.856133878983626,0.863757364952178
"NK","PARK7",0.0971383417068908,0.786454223481804,0.856133878983626,0.863757364952178
"B_cell","E2F1",0.205330779177877,0.786636171652877,0.957644035055676,0.863757364952178
"NK","POU1F1",0.0675189616166618,0.794981459056224,0.856133878983626,0.867252500788608
"NK","CEBPE",0.0616282638621701,0.824397765970768,0.87106179045968,0.893540804407027
"B_cell","CEBPE",0.111090464661311,0.830364989004768,0.96362070403216,0.894239218928211
"B_cell","KAT6A",-0.0758378217902123,0.838738442946987,0.96362070403216,0.896533186662832
"B_cell","EP300",0.0980680355947972,0.84316811602814,0.96362070403216,0.896533186662832
"B_cell","ZNF395",-0.0481335370065981,0.897042738582704,0.975776666315681,0.941921599783143
"NK","E2F5",0.0379859651026788,0.89706819026966,0.930292938057426,0.941921599783143
"B_cell","SP3",0.072740928422033,0.904127109080533,0.975776666315681,0.943436983388382
"B_cell","TBX10",-0.0355419943496993,0.911478149724154,0.975776666315681,0.945236599713938
"B_cell","NFIA",0.0388605834855181,0.923502916334484,0.975776666315681,0.951831226651493
"NK","SATB2",-0.0150165292530798,0.955968390875729,0.973349634346196,0.97928469309221
