"source","target","ligand.complex","receptor.complex","aggregate_rank","mean_rank","natmi.edge_specificity","natmi.rank","connectome.weight_sc","connectome.rank","logfc.logfc_comb","logfc.rank","sca.LRscore","sca.rank"
"NK","Myeloid","HLA-A","LILRB2",0.00167878187063367,217.5,0.240513161571231,516,1.14117235362833,123,1.30162019415587,166,0.924104064405018,65
"B_cell","Myeloid","RPS19","C5AR1",0.00169684983711944,345.5,0.244013671737656,499,0.896225028294419,302,1.03805692516341,336,0.911164802179078,245
"T_cell","Myeloid","B2M","LILRB2",0.00170892204196445,213.25,0.237227249933804,545,1.20329368976389,105,1.29932164282209,167,0.927901839037535,36
"NK","Myeloid","CCL5","CCRL2",0.00171049278225913,373.75,0.379920849801118,195,0.79596688459191,404,0.983612063165662,396,0.893871031622301,500
"T_cell","Myeloid","HLA-C","LILRB2",0.00173941612946842,221.5,0.237840128500736,541,1.17492371807516,111,1.29788336053714,168,0.9238850992398,66
"Myeloid","T_cell","HBEGF","CD44",0.00175191555555688,425,0.243071017531043,503,0.81758376074494,383,1.0492965153998,325,0.894862404395936,489
"T_cell","Myeloid","HLA-C","LILRA1",0.00176588889061521,435.75,0.242964141935895,504,0.890400052311041,307,0.884589551806234,487,0.89710684369468,445
"Myeloid","Myeloid","C3","ITGAM",0.00177026608688412,665.75,0.64955036726541,77,1.08376402810683,151,1.29737297895798,169,0.77089401405742,2266
"T_cell","Myeloid","HLA-B","LILRA1",0.00179408615996633,430.75,0.242200835462255,506,0.894227203319977,304,0.878520279891365,495,0.898294822513367,418
"Myeloid","B_cell","TNFSF13B","CD40",0.00180147386597961,283,0.396065297300675,170,1.34987986045686,70,1.78314753195118,42,0.86414012162105,850
"Myeloid","Myeloid","RPS19","C5AR1",0.00180831075765665,348.75,0.24183125212179,507,0.875087136464726,331,1.07655036245987,307,0.910800528615092,250
"NK","Myeloid","HLA-C","LILRA1",0.00183701354248682,456.75,0.24105215160824,509,0.82598934245402,370,0.878109690997374,496,0.896741636043435,452
