"cell","compartment_call"
"H2_P2_M15","T_cell"
"H2_P3_M15","Myeloid"
"H2_P6_M15","NK"
"H3_P1_M15","T_cell"
"H3_P6_M15","T_cell"
"H4_P2_M15","T_cell"
"H4_P6_M15","T_cell"
"H5_P1_M15","T_cell"
"H5_P5_M15","NK"
"H5_P6_M15","T_cell"
"H6_P1_M15","T_cell"
"H6_P3_M15","NK"
"H6_P6_M15","T_cell"
"H7_P1_M15","T_cell"
"H7_P2_M15","T_cell"
"H7_P5_M15","NK"
"H7_P6_M15","T_cell"
"H8_P1_M15","NK"
"H8_P5_M15","T_cell"
"H9_P1_M15","NK"
"H9_P5_M15","NK"
"H9_P6_M15","T_cell"
"A10_P1_M55_L001","T_cell"
"A10_P2_M55_L001","T_cell"
"A10_P3_M55_L001","T_cell"
"A10_P4_M55_L001","T_cell"
"A11_P1_M55_L001","T_cell"
"A11_P2_M55_L001","T_cell"
"A11_P3_M55_L001","T_cell"
"A11_P4_M55_L001","T_cell"
"A12_P1_M55_L001","T_cell"
"A12_P2_M55_L001","T_cell"
"A12_P3_M55_L001","B_cell"
"A12_P4_M55_L001","B_cell"
"A2_P1_M55_L001","T_cell"
"A2_P2_M55_L001","B_cell"
"A2_P3_M55_L001","T_cell"
"A2_P4_M55_L001","T_cell"
"A3_P1_M55_L001","T_cell"
"A3_P2_M55_L001","T_cell"
"A3_P3_M55_L001","Myeloid"
"A3_P4_M55_L001","T_cell"
"A4_P1_M55_L001","T_cell"
"A4_P2_M55_L001","NK"
"A4_P3_M55_L001","T_cell"
"A4_P4_M55_L001","T_cell"
"A5_P1_M55_L001","T_cell"
"A5_P2_M55_L001","T_cell"
"A5_P3_M55_L001","T_cell"
"A5_P4_M55_L001","T_cell"
"A6_P1_M55_L001","T_cell"
"A6_P2_M55_L001","T_cell"
"A6_P3_M55_L001","T_cell"
"A6_P4_M55_L001","T_cell"
"A7_P1_M55_L001","T_cell"
"A7_P2_M55_L001","T_cell"
"A7_P3_M55_L001","NK"
"A7_P4_M55_L001","T_cell"
"A8_P1_M55_L001","T_cell"
"A8_P2_M55_L001","T_cell"
"A8_P3_M55_L001","T_cell"
"A8_P4_M55_L001","T_cell"
"A9_P1_M55_L001","T_cell"
"A9_P2_M55_L001","T_cell"
"A9_P3_M55_L001","T_cell"
"A9_P4_M55_L001","T_cell"
"B10_P1_M55_L001","T_cell"
"B10_P2_M55_L001","T_cell"
"B10_P3_M55_L001","T_cell"
"B10_P4_M55_L001","B_cell"
"B11_P1_M55_L001","T_cell"
"B11_P2_M55_L001","T_cell"
"B11_P3_M55_L001","T_cell"
"B11_P4_M55_L001","T_cell"
"B12_P1_M55_L001","T_cell"
"B12_P2_M55_L001","T_cell"
"B12_P3_M55_L001","B_cell"
"B12_P4_M55_L001","T_cell"
"B1_P1_M55_L001","T_cell"
"B1_P2_M55_L001","NK"
"B1_P4_M55_L001","T_cell"
"B2_P1_M55_L001","T_cell"
"B2_P2_M55_L001","T_cell"
"B2_P4_M55_L001","T_cell"
"B3_P1_M55_L001","T_cell"
"B3_P2_M55_L001","T_cell"
"B3_P3_M55_L001","T_cell"
"B3_P4_M55_L001","T_cell"
"B4_P1_M55_L001","T_cell"
"B4_P2_M55_L001","T_cell"
"B4_P3_M55_L001","T_cell"
"B4_P4_M55_L001","T_cell"
"B5_P1_M55_L001","B_cell"
"B5_P2_M55_L001","T_cell"
"B5_P3_M55_L001","T_cell"
"B5_P4_M55_L001","Unassigned (all modules low)"
"B6_P1_M55_L001","T_cell"
"B6_P2_M55_L001","T_cell"
"B6_P3_M55_L001","T_cell"
"B6_P4_M55_L001","T_cell"
"B7_P1_M55_L001","T_cell"
"B7_P2_M55_L001","T_cell"
"B7_P3_M55_L001","T_cell"
"B7_P4_M55_L001","T_cell"
"B8_P1_M55_L001","Unassigned (all modules low)"
"B8_P2_M55_L001","Unassigned (all modules low)"
"B8_P3_M55_L001","T_cell"
"B8_P4_M55_L001","T_cell"
"B9_P1_M55_L001","T_cell"
"B9_P2_M55_L001","T_cell"
"B9_P4_M55_L001","NK"
"C10_P1_M55_L001","T_cell"
"C10_P2_M55_L001","B_cell"
"C10_P3_M55_L001","T_cell"
"C10_P4_M55_L001","Unassigned (all modules low)"
"C11_P1_M55_L001","NK"
"C11_P2_M55_L001","B_cell"
"C11_P3_M55_L001","T_cell"
"C12_P1_M55_L001","Myeloid"
"C12_P2_M55_L001","T_cell"
"C12_P3_M55_L001","NK"
"C12_P4_M55_L001","T_cell"
"C1_P1_M55_L001","Unassigned (all modules low)"
"C1_P2_M55_L001","NK"
"C1_P3_M55_L001","T_cell"
"C1_P4_M55_L001","T_cell"
"C2_P2_M55_L001","T_cell"
"C2_P3_M55_L001","T_cell"
"C2_P4_M55_L001","T_cell"
"C3_P1_M55_L001","Myeloid"
"C3_P2_M55_L001","B_cell"
"C3_P3_M55_L001","T_cell"
"C3_P4_M55_L001","T_cell"
"C4_P1_M55_L001","T_cell"
"C4_P2_M55_L001","NK"
"C4_P3_M55_L001","NK"
"C4_P4_M55_L001","B_cell"
"C5_P1_M55_L001","T_cell"
"C5_P2_M55_L001","T_cell"
"C5_P3_M55_L001","T_cell"
"C5_P4_M55_L001","T_cell"
"C6_P1_M55_L001","T_cell"
"C6_P2_M55_L001","T_cell"
"C6_P3_M55_L001","T_cell"
"C6_P4_M55_L001","T_cell"
"C7_P1_M55_L001","NK"
"C7_P2_M55_L001","T_cell"
"C7_P3_M55_L001","T_cell"
"C7_P4_M55_L001","T_cell"
"C8_P1_M55_L001","T_cell"
"C8_P3_M55_L001","T_cell"
"C8_P4_M55_L001","T_cell"
"C9_P1_M55_L001","T_cell"
"C9_P2_M55_L001","T_cell"
"C9_P4_M55_L001","T_cell"
"D10_P1_M55_L001","T_cell"
"D10_P2_M55_L001","T_cell"
"D10_P3_M55_L001","NK"
"D10_P4_M55_L001","T_cell"
"D11_P1_M55_L001","T_cell"
"D11_P2_M55_L001","T_cell"
"D11_P3_M55_L001","T_cell"
"D11_P4_M55_L001","T_cell"
"D12_P1_M55_L001","NK"
"D12_P2_M55_L001","Myeloid"
"D12_P3_M55_L001","B_cell"
"D12_P4_M55_L001","T_cell"
"D1_P1_M55_L001","T_cell"
"D1_P2_M55_L001","T_cell"
"D1_P3_M55_L001","T_cell"
"D1_P4_M55_L001","T_cell"
"D2_P1_M55_L001","T_cell"
"D2_P2_M55_L001","T_cell"
"D2_P3_M55_L001","T_cell"
"D2_P4_M55_L001","T_cell"
"D3_P1_M55_L001","B_cell"
"D3_P2_M55_L001","T_cell"
"D3_P3_M55_L001","NK"
"D3_P4_M55_L001","NK"
"D4_P1_M55_L001","T_cell"
"D4_P2_M55_L001","T_cell"
"D4_P3_M55_L001","T_cell"
"D4_P4_M55_L001","T_cell"
"D5_P2_M55_L001","T_cell"
"D5_P3_M55_L001","NK"
"D5_P4_M55_L001","T_cell"
"D6_P2_M55_L001","B_cell"
"D6_P3_M55_L001","T_cell"
"D6_P4_M55_L001","T_cell"
"D7_P1_M55_L001","T_cell"
"D7_P2_M55_L001","B_cell"
"D7_P3_M55_L001","T_cell"
"D7_P4_M55_L001","T_cell"
"D8_P1_M55_L001","T_cell"
"D8_P2_M55_L001","B_cell"
"D8_P3_M55_L001","T_cell"
"D8_P4_M55_L001","T_cell"
"D9_P1_M55_L001","T_cell"
"D9_P2_M55_L001","T_cell"
"D9_P3_M55_L001","T_cell"
"D9_P4_M55_L001","T_cell"
"E10_P1_M55_L001","T_cell"
"E10_P2_M55_L001","Myeloid"
"E10_P3_M55_L001","T_cell"
"E10_P4_M55_L001","T_cell"
"E11_P1_M55_L001","T_cell"
"E11_P2_M55_L001","T_cell"
"E11_P3_M55_L001","T_cell"
"E11_P4_M55_L001","T_cell"
"E12_P1_M55_L001","T_cell"
"E12_P2_M55_L001","B_cell"
"E12_P3_M55_L001","T_cell"
"E12_P4_M55_L001","T_cell"
"E1_P1_M55_L001","T_cell"
"E1_P4_M55_L001","T_cell"
"E2_P1_M55_L001","T_cell"
"E2_P2_M55_L001","NK"
"E2_P3_M55_L001","T_cell"
"E2_P4_M55_L001","B_cell"
"E3_P1_M55_L001","T_cell"
"E3_P2_M55_L001","T_cell"
"E3_P3_M55_L001","B_cell"
"E3_P4_M55_L001","T_cell"
"E4_P1_M55_L001","T_cell"
