"TF","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"WT1",0.673466175570927,5.98908144674497,2.61588048580441,0.0168108791887934,0.0918507457126829,-3.24974634343949
"HAND2",0.392049861723046,-0.826327726313668,2.60811195489998,0.0170938667786866,0.0923275255093648,-3.26465272115575
"AHR",1.06206269172444,7.07515676512439,2.60677442289363,0.0171430418717653,0.0923275255093648,-3.26721717880694
"BTG2",0.477709405380307,3.89601972916144,2.59149870639724,0.0177142275356106,0.0930222514569987,-3.29646300419264
"MAFK",0.567854820027161,2.81164319854137,2.59132293035965,0.0177209035416596,0.0930222514569987,-3.29679907678683
"LHX8",-0.375048408871518,1.73717135130961,-2.59090589728842,0.0177367520407082,0.0930222514569987,-3.29759637576619
"ELF2",-0.682509077298992,2.96807043012989,-2.59014972916272,0.0177655228246788,0.0930222514569987,-3.29904189574945
"NSD2",0.557459922801692,2.09123681885675,2.58027168636394,0.0181454341459831,0.0943562575591121,-3.31790735440555
"YY1",0.589850566031476,7.47494417121069,2.5691018838188,0.0185842586569009,0.0959353558898535,-3.33919979570504
"PURA",-0.371406575952196,2.26831245292569,-2.56610776897184,0.018703577341921,0.0959353558898535,-3.34490004880189
"LHX3",0.243281777959112,0.0294803299240198,2.54841763195094,0.0194234136470374,0.0989544181747714,-3.37851546354264
"PITX3",0.662208184281419,1.33952089278445,2.5378772004002,0.0198646382406859,0.100057814346643,-3.39849271929926
"RORA",-0.53202630099512,1.7211739508841,-2.53691456998914,0.0199054007320907,0.100057814346643,-3.40031523734967
"NR3C1",0.76636378457523,2.74323753703799,2.51187020350148,0.0209939578591432,0.104830756462212,-3.4476148393897
"BHLHE41",-0.4614910415028,-0.218470492503069,-2.50210332594493,0.0214334395217587,0.106321140785566,-3.4659996390921
"TWIST2",-0.397178981759817,1.1825460883342,-2.49798903089829,0.0216211433673791,0.106551255549045,-3.47373382942469
"NCOA2",0.539536176095822,4.83621279469188,2.49172979339536,0.021909664228376,0.10727199239088,-3.48548825990672
"ZNF436",0.506835188821681,2.78861691286043,2.48015816951275,0.0224525890787948,0.108411280147904,-3.50718096235795
"GATA6",0.342178339222009,2.04634924387625,2.47769256738572,0.022569889379938,0.108411280147904,-3.51179667759381
"ESR2",0.91420654232996,9.05103254538515,2.47761263835119,0.0225737015692586,0.108411280147904,-3.51194627037675
"IRF1",1.46511454769181,14.2735643624485,2.46517298868417,0.0231744115685204,0.109723043445108,-3.53519883359852
"ETV5",0.526383710439765,1.1051451953022,2.45937681154169,0.0234593887732653,0.109723043445108,-3.5460133607889
"WWTR1",0.431279226167138,0.960190368624237,2.45929444648774,0.0234634618895693,0.109723043445108,-3.5461669463489
"EGR1",1.37410888992753,11.7697970153085,2.45777790991792,0.0235385759614331,0.109723043445108,-3.54899436297737
"E4F1",-0.419340800620495,4.60018657704483,-2.45466249517437,0.0236935885313945,0.109723043445108,-3.55479997870897
"FOSL1",0.431743398090228,1.68364389269482,2.4541342183025,0.0237199682779212,0.109723043445108,-3.55578406423173
"RB1",0.686762544614971,1.06720039840673,2.44591750204219,0.0241338246387873,0.110681619461832,-3.57107665961252
"MEIS1",-0.534075057513882,-0.645109946725529,-2.44420786397431,0.0242207787946979,0.110681619461832,-3.57425532334965
"SMARCB1",0.467172117809647,-1.74190271973628,2.43569399727133,0.0246581783245482,0.112001605160899,-3.59006812066675
"TP53",1.29107088591128,24.3674364103749,2.42766082995187,0.0250776338075324,0.112810186942479,-3.60496247624071
"CEBPD",0.638615641389097,4.4100115640512,2.42656386546176,0.0251354262683508,0.112810186942479,-3.60699442510441
"CXXC1",0.424793013985005,4.00458048949108,2.42134896316005,0.0254118713318854,0.113376041326874,-3.61664778126543
"BCL6",-0.939152179075806,-0.304640680470257,-2.40887353726971,0.0260847457793615,0.115693519515521,-3.63969799892454
"TWIST1",-0.442915801296041,0.184245618419205,-2.40495998268457,0.0262992244555514,0.115962662219215,-3.64691625873116
"PBX1",0.356893639777162,3.01788293342939,2.39815798830434,0.0266759137383216,0.116939761387759,-3.65944760083147
"TFAP2D",0.265446446328668,-0.20354203370211,2.39431373768301,0.0268910206863796,0.116947969800269,-3.66652174521394
"ZBED1",-0.497645124069289,12.1416523407342,-2.39259006114207,0.0269879930308313,0.116947969800269,-3.66969172049567
"USF1",0.650446616285154,11.2311906371055,2.3888027897058,0.0272022050430708,0.11699767973428,-3.67665263483432
"TBPL1",0.419833280536618,6.22668474426826,2.38691090703817,0.0273098032270998,0.11699767973428,-3.68012771772138
"ASXL1",0.303153993905047,0.608642204576308,2.38353478616795,0.0275027993108124,0.117158817403122,-3.68632553516785
"NCOA3",0.877016997877873,6.47410066196267,2.37830260050498,0.0278044040933852,0.117778206103441,-3.69592161106258
